타임스탬프,하루 평균 스마트폰 사용 시간은 얼마나 되나요?,가장 자주 사용하는 앱은 무엇인가요?,스마트폰 사용이 학업에 방해가 된다고 생각하나요?,하루 중 스마트폰을 가장 많이 사용하는 시간대는 언제인가요?,스마트폰 사용 시간을 줄이고 싶나요?
2026. 7. 10 오전 9:03:11,2~3시간,유튜브,그렇다,밤(21시~24시),그렇다
2026. 7. 10 오전 9:04:02,1시간 미만,카카오톡,아니다,저녁(18시~21시),아니다
2026. 7. 10 오전 9:04:47,3~4시간,유튜브,그렇다,밤(21시~24시),그렇다
2026. 7. 10 오전 9:05:12,1~2시간,인스타그램,보통이다,저녁(18시~21시),그렇다
2026. 7. 10 오전 9:05:58,4시간 이상,유튜브,그렇다,밤(21시~24시),그렇다
2026. 7. 10 오전 9:06:30,2~3시간,카카오톡,보통이다,저녁(18시~21시),보통이다
2026. 7. 10 오전 9:07:14,1~2시간,유튜브,아니다,오후(15시~18시),아니다
2026. 7. 10 오전 9:08:01,3~4시간,인스타그램,그렇다,밤(21시~24시),그렇다
2026. 7. 10 오전 9:08:44,1시간 미만,카카오톡,아니다,저녁(18시~21시),보통이다
2026. 7. 10 오전 9:09:20,2~3시간,유튜브,보통이다,밤(21시~24시),그렇다
2026. 7. 10 오전 9:10:05,4시간 이상,유튜브,그렇다,밤(21시~24시),그렇다
2026. 7. 10 오전 9:10:51,1~2시간,카카오톡,아니다,저녁(18시~21시),아니다
2026. 7. 10 오전 9:11:33,2~3시간,인스타그램,보통이다,오후(15시~18시),보통이다
2026. 7. 10 오전 9:12:19,3~4시간,유튜브,그렇다,밤(21시~24시),그렇다
2026. 7. 10 오전 9:13:02,1시간 미만,카카오톡,아니다,저녁(18시~21시),아니다
2026. 7. 10 오전 9:13:47,2~3시간,유튜브,그렇다,밤(21시~24시),그렇다
2026. 7. 10 오전 9:14:30,1~2시간,인스타그램,보통이다,저녁(18시~21시),보통이다
2026. 7. 10 오전 9:15:11,4시간 이상,유튜브,그렇다,밤(21시~24시),그렇다
2026. 7. 10 오전 9:15:58,2~3시간,카카오톡,아니다,저녁(18시~21시),아니다
2026. 7. 10 오전 9:16:40,3~4시간,유튜브,그렇다,밤(21시~24시),그렇다
